date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:05	17232/17232	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2017:02:34%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://shtheme.org/demosd/amassivx/)
09:00:05	18468/18468	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2017:02:34%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.1.4	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/animations/animations.minaeb9.css	(from https://shtheme.org/demosd/amassivx/)
09:00:05	80752/80752	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2014:23:02%20GMT	https://shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/style.css?ver=5.3.14	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/style8217.css	(from https://shtheme.org/demosd/amassivx/)
09:00:06	3854/3854	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2017:02:34%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.1.4	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/css/frontend-legacy.minaeb9.css	(from https://shtheme.org/demosd/amassivx/)
09:00:07	1023/1023	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Mar%202021%2003:28:33%20GMT	https://shtheme.org/demosd/amassivx/wp-content/uploads/elementor/css/post-224.css?ver=1616556513	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/uploads/elementor/css/post-2240b28.css	(from https://shtheme.org/demosd/amassivx/)
09:00:07	30999/30999	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2017:02:34%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://shtheme.org/demosd/amassivx/)
09:00:07	9237/9237	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Mar%202021%2003:28:33%20GMT	https://shtheme.org/demosd/amassivx/wp-content/uploads/elementor/css/global.css?ver=1616556513	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/uploads/elementor/css/global0b28.css	(from https://shtheme.org/demosd/amassivx/)
09:00:08	10056/10056	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Apr%202020%2014:23:03%20GMT	https://shtheme.org/demosd/amassivx/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/template/gold1/shtheme.org/demosd/amassivx/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://shtheme.org/demosd/amassivx/)
09:00:09	96873/96873	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Apr%202020%2014:23:03%20GMT	https://shtheme.org/demosd/amassivx/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/template/gold1/shtheme.org/demosd/amassivx/wp-includes/js/jquery/jquery4a5f.js	(from https://shtheme.org/demosd/amassivx/)
09:00:09	115200/115200	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2017:02:34%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.1.4	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/elementor/assets/css/frontend.minaeb9.css	(from https://shtheme.org/demosd/amassivx/)
09:00:09	890/890	---M--	200	added ('OK')	text/xml	date:Mon,%2007%20Nov%202022%2002:00:08%20GMT	https://shtheme.org/demosd/amassivx/xmlrpc.php?rsd	D:/template/gold1/shtheme.org/demosd/amassivx/xmlrpc0db0.php	(from https://shtheme.org/demosd/amassivx/)
09:00:09	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Mon,%2007%20Nov%202022%2002:00:08%20GMT	https://shtheme.org/demosd/amassivx/wp-includes/wlwmanifest.xml	D:/template/gold1/shtheme.org/demosd/amassivx/wp-includes/wlwmanifest.html	(from https://shtheme.org/demosd/amassivx/)
